C: Phosphatase	C: Kinase	N: NumberPSM	T: Index	T: Gene	4Hr-AGB1.01	4Hr-AGB1.02	4Hr-AGB1.03	4Hr-AGB1.04	4Hr-AGB1.05	24Hr-AGB1.01	24Hr-AGB1.02	24Hr-AGB1.03	24Hr-AGB1.04	24Hr-AGB1.05	4Hr-Cis.01	4Hr-Cis.02	4Hr-Cis.03	24Hr-Cis.01	24Hr-Cis.02	24Hr-Cis.03
		32	Q12907	LMAN2	46059646.41	47011161.84	50500698.26	44608026.88	53191780.74	49314207.04	44499938.3	48349579.27	45390907.61	47885980.28	46553942.04	48871837.07	48719635.37	48433435.35	51816204.24	49974888.07
		30	Q12929	EPS8	4074523.724	4335298.799	4327492.834	4474515.359	4488805.018	4963753.354	4744090.168	4836057.609	4784709.817	4956876.899	4026514.226	4329292.962	4472654.848	5101535.092	4873747.233	5149139.766
		65	Q12931	TRAP1	43403257.86	42283750.17	45438126.02	42539507.65	43301089.82	50820245.19	49657214.48	54166592.46	50647931.02	50704132.53	45067997.11	43286085.41	42749375.24	51601154.2	53328373.83	52985710.43
		17	Q12933	TRAF2	2130262.816	2016329.519	2026417.485	2136769.711	2069427.105	2330325.413	2472433.008	2175174.933	2180156.092	2103849.393	2144485.306	2168551.087	2000043.573	2360727.354	2234313.196	2297765.278
		3	Q12948	FOXC1	383429.0182	451322.7571	461957.3064	431170.8141	449075.9699	595565.2283	624525.087	656756.9332	691562.4447	640527.0622	377914.4088	376007.0014	468568.3554	669906.3957	668931.9832	790661.1432
		1	Q12952	FOXL1	331006.4949	415272.842	460997.6913	355995.6285	355206.88	359467.0478	427421.5136	447181.1965	414467.6571	437098.8328	400793.6151	345374.0109	358819.8059	480108.183	433057.7796	393880.918
		29	Q12955	ANK3	1715027.168	1610860.353	1577709.326	1610302.168	1441760.402	1553617.58	1575851.327	1568549.905	1692706.014	1701528.635	1674501.224	1712651.283	1628034.679	1748637.727	1700467.497	1730191.146
		3	Q12962	TAF10	1945082.612	2221649.814	2075748.176	2091925.438	2204163.785	2067849.847	1945891.717	2099188.077	1961872.698	1751549.1	2292833.241	2415181.198	2320493.137	2162247.142	2006152.712	2318081.726
		56	Q12965	MYO1E	11979795.96	13222576.62	13768804.84	12291008.84	12756241.68	13046866.35	13202428.57	13840569.78	13217994.82	14190282.75	13424825.5	11836178.31	13680332.88	13773577.57	13021569.39	13734489.96
		4	Q12968	NFATC3	207118.9456	225786.5465	230738.6247	226334.973	234008.2715	214571.6576	224491.2985	215107.7532	242226.9732	213473.8754	209501.3478	219247.3683	242277.3482	207550.0854	213873.7652	224335.7469
		26	Q12979	ABR	5799913.688	6385640.928	6242965.23	5875173.394	6328358.94	5814001.448	5975384.007	5649532.271	5924245.515	5876802.564	6601671.862	6260298.422	5998623.276	5835399.509	6049145.787	5828931.432
		4	Q12980	NPRL3	585009.2862	427747.5305	564416.2503	517859.066	566532.816	654938.5383	608543.1339	620469.1693	681757.9061	471696.7058	461349.3185	521894.9802	597840.0407	572057.2461	584401.356	612606.0121
		13	Q12981	BNIP1	2873146.249	3267826.597	3204349.32	3082992.609	2991214.626	3313673.435	3744651.427	3575466.362	3392459.119	3652872.581	3112840.014	3128630.822	3059151.234	3564825.433	3521845.036	3704891.854
		5	Q12982	BNIP2	1443860.569	1349318.969	1456525.976	1428332.073	1396515.349	1473688.319	1491466.352	1624202.406	1685330.375	1628599.01	1517852.321	1395934.676	1401363.699	1418760.855	1580445.658	1331203.776
		3	Q12983	BNIP3	504886.6482	439895.0983	481207.6325	494942.0183	483079.1296	227167.9845	228700.5009	226523.3115	278207.1553	261345.7187	492000.4126	465525.2836	485058.7599	313238.0616	271181.6437	309439.9626
		20	Q12986	NFX1	1477472.656	1624990.665	1360589.095	1561282.313	1411697.941	1179218.8	1200247.084	1213632.336	1225212.024	1179382.286	1473892.63	1504653.643	1469608.046	1224363.066	1195182.915	1295699.738
		34	Q12996	CSTF3	9140869.668	9713097.414	8722437.958	10330451.69	9642661.678	10136104.73	10313995.6	9869188.278	9749521.612	10078656.48	9104825.9	9409587.184	9434404.323	9854833.049	9643998.528	10123466.15
		2	Q12999	TSPAN31	542701.7367	564025.1623	634473.3316	608163.6233	532602.62	109017.4837	136647.5436	111501.2223	127037.949	128927.4557	553836.2656	619394.9092	584198.853	124199.5138	120619.1961	158959.5315
		40	Q13011	ECH1	53833466.8	57969873.43	57821391.8	56930561.77	55481367.05	67174018.46	69706990.17	69456192.96	67772657.14	71925499.54	55113407.82	59533566.94	56061227.59	73548878.14	70768303.56	70758493.67
		2	Q13015	MLLT11	1413264.433	963149.3498	1120491.287	1583735.522	1432397.028	1102081.893	1169369.956	1085779.711	1190222.611	1051195.81	1354942.314	1056674.79	1149041.919	1259482.809	1256953.632	1333235.309
		27	Q13017	ARHGAP5	3281900.342	3351789.229	3224625.079	3150828.937	3047933.509	3327483.312	3179349.087	3451758.26	3341119.146	3360862.292	3298777.404	3320110.897	3190829.3	3394340.82	3257875.406	3199466.655
		3	Q13029	PRDM2	200591.3682	180870.8012	212263.9728	214943.8043	193275.6012	265692.8723	229637.7023	233829.9171	250838.6266	249434.2412	221369.9699	227530.4333	195133.236	239555.4317	226429.1227	227546.205
		22	Q13033	STRN3	4656453.045	4837063.344	4326593.051	4574237.996	5045269.835	5489715.675	5463901.329	5133103.786	5484010.87	5276317.683	4799324.728	5144502.011	4899149.887	5238055.808	5380094.191	5066998.602
		19	Q13042	CDC16	5067349.831	5376366.286	6016946.09	5997791.748	5820856.415	7803013.687	7979682.975	7309797.451	7388755.711	7485151.053	5795894.887	5411135.734	5749878.339	7103999.256	7071084.162	7525729.477
		59	Q13045	FLII	33909824.92	32422679.76	31322586.2	30643972.59	32463157.65	36100112.57	37017394.05	38519883.39	38013275.29	38557281.46	32053976.33	32609748.98	33794848.24	37474346.91	37458765.01	36649749.45
		16	Q13049	TRIM32	2981485.728	2648235.515	2542471.198	2965204.14	2750380.899	2893932.819	2655404.106	2859239.422	2837325.035	3127113.169	2792062.876	2707068.569	2673873.902	3061484.61	2901967.637	2535607.483
		15	Q13057	COASY	7930607.76	7780869.756	7738915.626	8098369.282	7283497.696	7012998.555	7230179.33	6951052.448	7718558.459	7401570.549	7526772.837	7770629.254	6664660.707	7270887.285	7485151.053	7699322.12
		11	Q13084	MRPL28	10347651.25	10503013.6	10727421.44	10368472.26	9906197.819	10637088.6	11068067.41	11171348.43	10924773.25	12143660.27	10646677.91	10628981.32	10408796.98	11110342.84	11823058.84	10941445.4
		90	Q13085	ACACA	11561297.65	11499756.68	12163878.71	11483825.68	12075670.83	13280443.59	13513518.31	13403440.18	13305321.18	13690767.59	12362781.19	12003901.08	12263776.72	13477971.08	13360771.68	13133972.47
		22	Q13098	GPS1	23557775.83	26090115.59	24425758.03	21499503.39	23138628.21	23813890.52	23199654.75	22376793.76	22222225.96	23225398.26	22438921.49	23621545.11	21773952.81	24873393.27	23637923.99	22956510.08
		6	Q13099	IFT88	570433.8225	581411.467	612139.1014	645966.5794	561100.6272	432248.071	448609.299	418596.2901	411804.4801	432667.7307	597011.8326	564103.3582	593957.4265	459562.0049	522474.1013	452262.2328
		14	Q13107	USP4	2577248.109	2616124.919	2619391.003	2586374.934	2608519.884	2426759.99	2364330.029	2704255.436	2465416.567	2667579.802	2610871.458	2453143.163	2525434.161	2427937.747	2370565.787	2398498.323
		17	Q13111	CHAF1A	4338304.84	4059301.309	4113400.17	4744747.885	4286295.847	3315511.435	3389168.653	3136012.762	3293979.167	3297634.333	4243137.501	3821479.87	3633176.442	3335565.637	3292153.103	3385646.696
		16	Q13112	CHAF1B	2006709.013	2333719.926	2294423.063	2350278.026	2201720.645	1541816.883	1681013.64	1559551.755	1550712.708	1449777.426	2270691.057	2169152.42	1998657.728	1481780.169	1519220.661	1840160.278
		3	Q13114	TRAF3	322893.7521	315832.4758	362922.0028	391567.0926	381758.3005	413864.7931	447243.1932	375069.9095	427569.6723	375277.9501	369419.3729	395248.3735	397666.6359	434772.1489	401127.1245	340501.1157
		1	Q13118	KLF10	116801.5586	135009.3689	159588.8132	135074.8917	138555.0722	40967.72047	62779.24246	56157.84678	70713.5957	64638.22675	179584.0879	159976.4481	151819.7547	52996.15236	46818.78906	58210.83129
		23	Q13123	IK	8593414.179	8222239.699	7679601.395	8831334.323	8931060.1	6071830.135	6018614.573	5589934.703	5947698.147	5669931.991	7698788.463	7930058.071	7759864.338	5576003.36	5183517.49	5829335.476
		1	Q13127	REST	87791.88679	75662.98116	83102.25471	96691.40284	91342.58511	57728.6553	60347.23289	65873.01668	68966.11124	74641.99883	69436.18191	82912.38504	84502.12492	66811.09113	72666.35898	73476.74009
		2	Q13129	RLF	33468.12249	38854.65954	48769.78528	43450.947	30957.47104	52317.28305	49863.6199	53732.22651	58311.79043	54433.22902	58009.43712	42716.32758	47895.4172	51222.85337	58433.17254	51586.28737
		13	Q13137	CALCOCO2	2372373.942	2447538.291	2636879.109	2474490.375	2775853.502	3351324.604	3215251.143	3116294.179	3179569.471	3126029.582	2525084.086	2788968.095	2653748.095	3221050.837	3578937.701	3247954.519
		16	Q13144	EIF2B5	8800170.225	7381589.096	7319430.647	6924603.333	7807882.979	9304518.091	8791025.261	8629227.605	8350319.683	8719415.515	7430871.548	8151307.156	7437054.944	8780063.846	9116824.67	9226806.686
		20	Q13148	TARDBP	16285672.95	17129740.97	14796985.93	15925109.98	15875514.36	17309971.34	16170937.67	16139583.36	16973726.49	16508434.73	15042072.29	16395539.06	15897537.76	16353544.2	15689543.06	16652090.86
		24	Q13151	HNRNPA0	67243897	89457555.48	83131966.31	59414017.12	62234015.51	46637916.39	46126740.06	46389662.04	50144912.41	55331588.25	62897528.8	71033685.3	60172459.87	43535833.25	42681276.83	52205555.33
		27	Q13155	AIMP2	26509387.48	25464781.46	24754714.93	24144646.41	26073844.8	23082561.58	21826840.87	23557775.83	22615365.87	23061771.46	25723792.12	23708482.7	26213379.03	25770192.89	24391920.2	25346795
		8	Q13158	FADD	3594102.194	3657432.986	3534316.968	3290099.992	3705148.666	3208794.572	3516722.335	3269639.167	3222837.462	3679810.391	3827842.395	3782739.507	3822804.523	3504069.599	3627388.907	3382362.837
		24	Q13162	PRDX4	42163754.42	46612062.01	46978587.47	45738318.74	47112285.97	58401415.46	58502705.14	55293248.6	57465789.04	57418010.22	49262960.68	46113952.79	48524163.27	59142832.35	60889916.55	59101851.87
		23	Q13185	CBX3	63361361.48	70357456.84	57282852.49	59843864.23	53291422.22	66070365.96	66705389.79	58527040.79	62087521.27	61330441.47	58381178.58	60456746.24	52477657.99	59694720.21	52597832.02	59151031.86
		19	Q13190	STX5	3897182.333	3773835.22	4146607.317	4023445.333	4005636.289	4133693.526	4455327.334	4403441.289	4503140.311	4904586.232	4252854.302	4052273.167	4172266.844	5269738.711	4533205.084	4275909.832
		1	Q13191	CBLB	115497.332	124864.1677	109707.2999	105274.7556	120118.5967	142509.6412	163021.1926	173550.9817	149636.2302	165836.2646	97695.19591	115313.3484	110508.6673	142786.4942	143859.4033	131162.8837
		66	Q13200	PSMD2	42445256.57	41150311.05	45434976.6	41626531.03	42524767.14	43442385.79	41207397.05	43124368.66	41889926	43914681.36	39663262.07	42571954.77	40482638.88	43259090.56	43799164.08	43160253.42
		34	Q13206	DDX10	3814599.067	4386381.915	4454092.226	4234323.312	4214412.211	5026072.321	4597760.862	4827015.404	4955159.274	4797661.697	3957615.433	4156679.261	4055645.155	4491606.154	4801653.939	4713933.579
		7	Q13214	SEMA3B	623314.1766	767070.6842	716099.2348	644178.0603	626562.9773	256998.4264	284230.1357	305899.8767	296135.9265	352679.9415	683224.4126	638399.5017	551423.0313	379936.8184	285474.0336	304039.6599
		2	Q13216	ERCC8	160287.2338	206373.757	272632.8727	254710.6928	278361.4689	322558.2072	356786.1285	371653.8429	383269.5878	323880.0321	297865.1885	330547.9404	302609.9711	406388.4854	355206.88	367427.4789
		25	Q13217	DNAJC3	11750346.79	12543181.59	12966627.85	11751975.85	12772167.12	10038914.89	9296137.647	8918069.425	9327118.396	9784725.856	11242815.23	12041401.65	12071486.44	9361446.261	9876716.028	9642661.678
		8	Q13219	PAPPA	645787.5042	568696.7366	620039.2419	694300.1704	648928.4987	507201.6805	512147.555	437492.8763	538840.9615	436039.7096	604842.5041	590918.6471	580123.2843	412490.1089	489415.4093	521677.9753
		2	Q13227	GPS2	1072019.71	1069348.002	1118318.733	823152.3811	968236.5299	1062624.168	1043862.313	1034211.628	1095228.148	1189397.898	987553.9232	990021.2732	949691.8847	983046.4081	950745.711	1115454.318
		27	Q13228	SELENBP1	16787685.44	15262627.38	17617428.22	16117224.64	14342567.78	14831899.11	15572529.83	15663464.36	15327297.41	17051555.3	16895081.8	16712219.38	17575958.1	17981374.88	18291879.7	17731361.72
		11	Q13232	NME3	16221456.2	13796509.72	14915406.9	15002504.22	15482123.21	13890546.26	14385380.04	14733532.14	14269188.95	15171916.49	14094217.04	14646981.05	14865864.22	14184382.4	14203075.25	15726562.21
		16	Q13242	SRSF9	23280198.12	26991465.98	28459362.31	23297955.15	24728990.32	25722009.14	23072963.81	26360967.77	25807731.53	24442694.55	23272131.21	23317341.91	25166478.13	22396966.38	18326144.95	26217013.22
		11	Q13243	SRSF5	13539770.97	12255279.06	14210953.29	13925251.04	13624500.47	18198295.57	18304563.06	17285991.25	17986361.07	17926617.97	14720261.86	14088356.64	14080546.56	18048805.19	18403795.57	17977636.15
		24	Q13247	SRSF6	82672260.56	78256106.64	93534807.16	71369285.82	78495140.16	76757266.55	74829302.93	77672469.52	75952809.75	81669836.29	74080987.8	85090810.58	77285798.33	73998874.9	72050244.98	70743781.38
		9	Q13257	MAD2L1	11640099.06	11844385.37	12856548.06	13780262.17	13410874.68	12333680.13	13160399.97	12371353.39	12136928.26	10292570.54	10940687.03	9339410.113	14118661.63	13084903.96	11277938.15	10928560.14
		1	Q13268	DHRS2	438069.425	402575.542	347920.9433	403581.3551	330456.3058	296300.1847	297906.4842	292220.9325	291573.484	298381.797	370470.7203	356860.3278	375720.4196	261853.4342	297473.1643	228542.0327
		6	Q13277	STX3	4297004.925	4145457.793	4145745.144	4463054.521	4005081.028	2712703.616	2920532.482	3345986.05	3047299.775	2915475.968	4389119.137	4251085.957	4147757.16	2973642.949	2605628.547	3123430.504
		47	Q13283	G3BP1	81004571.89	98328070.69	94178864.98	87969495.35	92663638.75	101950951.6	101788546.9	99231855.88	99970562.28	101830888.4	90198493.38	89197503.74	95878233.99	97560918.17	99977491.95	94577914.89
		6	Q13286	CLN3	844419.2838	663851.0265	599541.4608	706044.7007	644758.7851	748892.9589	828131.3004	819565.6539	821328.5941	776593.4427	699662.6728	605513.668	562931.557	766645.4478	797375.6368	736793.0871
		13	Q13287	NMI	2989763.632	3114350.74	2969523.461	2900559.936	2929453.258	2679811.327	2501565.852	2496542.438	2650071.768	2603462.147	2765099.567	3130800.175	3060423.764	2799038.694	2802727.399	2773737.827
		5	Q13303	KCNAB2	1851162.354	2248139.299	1973602.476	2050579.149	1798920.5	1515014.321	1595414.65	1674269.105	1520063.329	1627809.001	2152974.796	2025013.366	2411501.037	1629163.537	1417090.043	1769242.043
		4	Q13309	SKP2	470195.1069	481207.6325	430185.6873	442402.4961	396895.5881	416541.2942	396703.0599	359168.1759	373280.3398	348307.0141	441881.4981	473104.7106	443200.5051	430961.6595	411890.1214	391458.5422
		27	Q13310	PABPC4	16220331.85	16556564.41	15906355.67	15573609.27	16965492.79	13926216.29	14266222.07	15781160.88	14254360.69	15216149.6	15660207.58	15973753.28	16050334.18	13612229.08	15170864.89	15041029.69
		10	Q13322	GRB10	1692119.469	1761532.913	1735716.625	1670443.782	1828082.818	1442160.198	1462393.366	1241196.411	1492500.516	1441860.34	1603285.588	1653280.401	1744642.489	1294801.939	1547062.445	1504028.005
		11	Q13325	IFIT5	4082439.287	4464292.114	3812220.138	4117393.776	4087535.982	1324484.932	2031057.989	1786122.996	1922830.284	1862230.21	3486142.23	3098846.795	3529176.126	1930040.914	1763732.087	1844246.414
		34	Q13330	MTA1	7956486.159	7970285.651	8129301.696	8354372.266	8367121.766	9868504.222	8716998.315	9199984.501	9759663.664	8825215.03	8255361.723	7393878.982	7710537.484	8595797.11	9451422.173	8471582.142
		33	Q13347	EIF3I	37267120.1	34819689.45	35015734.15	34875244.61	36389023.47	34538449.91	32020666.46	32682160	31231531.92	31810506.34	34145686.41	34843832.98	33631271.78	32016227.76	33205065.3	33787821.53
		15	Q13356	PPIL2	3326330.294	3799557.553	3475767.138	3411086.714	3752186.221	2752860.36	2590142.426	2567441.546	2649153.482	2607615.997	3661999.085	3618850.303	3714920.741	2879925.379	2519664.121	2704067.998
		8	Q13362	PPP2R5C	4401305.244	4003415.708	3801401.557	3819096.65	3700528.765	4280061.215	4688516.243	4332294.84	4230802.765	4314613.802	3762082.354	3861955.205	3357137.042	4194304	4479170.025	4591709.69
		14	Q13363	CTBP1	6097134.75	5398398.323	5170957.44	4902886.726	5030952.02	5398024.148	4852510.823	5244595.225	5374130.783	5369290.381	5467689.93	5148782.868	4555569.536	4723418.713	5717686.149	5542479.122
		3	Q13370	PDE3B	160554.1021	143570.5181	142944.9374	138593.4931	153130.2732	184824.9503	108994.8165	144599.1955	161368.5605	159887.7629	132947.7651	140421.0797	135619.0201	161011.0303	172411.9205	156347.8657
		8	Q13371	PDCL	1756290.423	1614325.421	1515224.361	1619705.398	1487955.552	1664087.657	1835319.749	1895044.111	1775138.303	1805291.028	1425167.442	1476039.603	1580226.577	1933254.312	1909548.325	1797923.243
		15	Q13393	PLD1	2356966.79	2275417.739	2319689.055	2361381.977	2229362.823	2604545.121	2774699.297	2813237.651	2607254.529	2616306.261	2239895.507	2446690.186	2422390.463	2628484.87	2688928.569	2704817.828
		19	Q13395	TARBP1	1416599.002	1270002.583	1279989.017	1308153.131	1261404.89	1483218.795	1458445.454	1479317.198	1475221.34	1452493.221	1336658.972	1338142.196	1518062.754	1524812.056	1448572.037	1496955.599
		27	Q13404	UBE2V1	63207832.17	61321939.85	64010267.42	61347448.23	63304292.82	69436938.29	66456178.55	70430647	69953843.97	73274099.64	59935191.18	60189145.53	62962958.68	68737783.69	65509463.6	70055743.57
		6	Q13405	MRPL49	7705728.901	7433962.603	7098584.792	7224167.936	7718023.468	10899057.14	9684190.308	10343348.67	10297565.74	11000761.06	7715349.068	7353501.767	7947667.024	9699641.531	10949791.02	10316140.56
		32	Q13409	DYNC1I2	29655574.81	28770760.09	30282899.29	27894937.83	29536591.21	27141554.2	28469227.28	28030613.79	27587282.22	27543336.55	29125914.24	29063396.95	28075336.92	26579304.16	25060293.93	27547155.14
		10	Q13415	ORC1	1333142.899	1405936.495	1284610.889	1280876.545	1284254.769	901332.571	881438.2634	946406.2004	994560.7698	978830.8186	1295520.128	1140867.645	1111826.313	1012366.33	928022.3337	1011664.854
		11	Q13416	ORC2	4104570.965	4579948.674	3806147.392	4013418.025	4154950.906	4262002.474	4514704.088	4490983.528	4010359.113	4606373.616	3808258.554	3334640.95	4107132.329	3843262.268	3580922.835	4057613.444
		29	Q13423	NNT	11899519.64	11686989.4	12650578.29	11253730.62	11998078.17	10666621.8	10835031.41	10898301.71	11384755.72	12785453.52	12573648.48	12469497.57	12190044.02	11098027.91	10970302.71	11440922.12
		23	Q13425	SNTB2	9316134.257	10345499.74	10238492.68	9890417.558	10645202.07	11286540.42	11179869.41	11736508.92	11176770.12	11548482.86	9970953.208	9864400.88	10036131.89	11472687.11	10914933.46	11414782.23
		11	Q13426	XRCC4	2701070.753	3066369.239	3106804.435	2637975.984	2842246.007	2304783.809	2366133.428	2558204.206	2269274.968	2371058.783	2575105.306	2864794.057	2718727.263	2061695.728	2235087.684	2174119.787
		11	Q13427	PPIG	6137841.669	5894344.697	6081096.277	6364430.525	6762381.605	6970834.765	6605791.484	7526772.837	7461322.829	7479446.086	6323973.975	6370609.604	6133163.582	7053950.396	6182247.579	7114840.578
		80	Q13428	TCOF1	24444388.85	28689112.44	26788305.68	26454320.03	26913002.21	14898874.35	15487489.84	15195070.16	15893130.64	14931957.79	25003036.88	25217116.82	26197031.37	16302614.31	14600353.87	16599080.61
		5	Q13432	UNC119	1036220.787	791812.8748	798537.1492	756772.4273	816333.9883	692041.9654	655619.8457	692569.8223	691226.9779	675361.3066	694829.7497	679634.7055	541874.7886	757717.215	796160.6263	754311.0318
		8	Q13433	SLC39A6	1712888.723	1609967.35	1904393.263	1920166.522	1876483.274	1775384.406	1739209.144	1695054.23	1771696.434	1507994.776	1896883.966	1884172.994	1851162.354	1713007.456	1700821.136	1626906.602
		59	Q13435	SF3B2	46101169.06	44999324.22	43893378.99	44890287.49	44478352.03	42295475.34	40000092.49	42333604.6	40733148.58	43999994.27	41808704.37	44226262.76	41606338.61	39952986.13	41782630.88	42678318.49
		15	Q13438	OS9	4497525.405	4687866.322	3903129.772	4231682.628	4235791.071	3559640.216	4123677.278	3529910.074	3969153.702	3733765.782	4141436.966	4457798.577	4452857.46	3804037.401	3287592.372	4069443.253
		104	Q13439	GOLGA4	24149667.67	24213360.76	24366572.6	24476602.82	23767717.06	21010395.74	21144806.17	20133574.58	20612269.15	21062889.07	24116212.32	24476602.82	25079408.73	21999997.13	21262383.57	20928999.35
		16	Q13442	PDAP1	24966668.71	26814313.83	29538638.6	27232007.43	29011066.56	25656125.85	31416083.46	30251429.89	28776743.42	30253526.83	25811309.49	28163045.17	30274504.25	30259818.53	28756803.81	28982927.7
		24	Q13443	ADAM9	3603081.863	4634235.727	4524415.517	4172845.283	4482586.524	3377911.266	3399285.251	2966231.979	3370427.122	3362726.466	4695020.414	4356082.962	4285998.754	3241207.605	3299920.872	3312984.447
		8	Q13444	ADAM15	1533184.62	1593204.468	1601952.567	1386196.163	1450581.576	1314060.255	1351846.58	1139761.077	1459962.619	1272028.884	1522066.54	1552541.067	1507367.749	1219704.301	1286928.08	1425167.442
		8	Q13445	TMED1	7289558.459	7963658.911	7873643.71	7070103.969	7410297.332	7271391.282	6985829.494	7511658.265	7410810.993	7477890.94	7407216.117	7424178.67	8072588.939	6837796.232	7569675.37	7413893.703
		20	Q13451	FKBP5	6249892.74	5868254.46	5958013.658	6447015.405	5865407.856	4942124.76	4886601.406	4608928.64	4880170.088	4648068.823	5862562.632	5884547.292	5513358.563	4864634.558	4749025.263	4704467.492
		6	Q13454	TUSC3	6269417.605	6518009.391	5307496.191	5735548.383	5244958.765	5868254.46	6213608.871	6639761.545	6220072.648	6068884.78	5752270.144	5314122.3	5526750.292	6083625.86	5601959.024	6753013.449
		34	Q13459	MYO9B	3010976.463	2863007.462	3249305.586	2971582.491	2968082.988	3200575.698	3198579.698	2997025.649	3193484.461	2912850.041	3214137.015	2970758.708	3027089.709	2955764.711	2898951.969	2878927.446
		9	Q13472	TOP3A	1551035.203	1401557.983	1400295.62	1559335.57	1389177.964	1405741.604	1219957.958	1317891.345	1365028.838	1347543.113	1591107.631	1478599.603	1422206.969	1517221.195	1342974.052	1247838.676
		10	Q13485	SMAD4	2779897.002	2420544.187	2594814.545	2508163.56	2519140.226	1893206.041	2266445.438	2153124.034	2110860.781	2131887.68	2543176.218	2460124.675	2268803.134	2121127.629	2053566.164	2327419.761
		17	Q13488	TCIRG1	3797977.69	3951858.883	4083854.398	3932185.632	3836608.169	4010359.113	3686959.146	3927010.433	3950489.511	3793242.041	3690538.731	3929733.372	3936548.985	3813805.926	3715950.878	3634939.698
		7	Q13490	BIRC2	617936.8997	557688.5015	646907.5389	617765.5949	567751.4658	595400.1255	607995.0279	571542.0025	625651.61	596474.1127	649243.4372	618451.099	701799.7946	683319.1342	520377.8395	604968.2906
		17	Q13492	PICALM	9518481.463	9930947.917	9655369.233	8817877.475	9967498.138	6223522.746	6118302.468	6299037.634	6330991.377	6369285.011	9373783.217	10027787.55	8414231.029	6378120.838	6481965.898	7075006.291
		36	Q13501	SQSTM1	14710062.09	14987952.76	16823796.86	15782254.79	15609272.89	12945972.42	13791729.04	12655840.61	11967346.79	11993920.67	16292447.38	16650936.67	15458532.15	12367066.55	13465831.67	12078182.15
		1	Q13503	MED21	12233.07944	#VALUE!	11558.76788	20034.51549	#VALUE!	15987.97942	15576.67837	15681.76147	19130.67291	18434.23593	17943.82705	9521.017199	11899.39002	13564.98658	17122.43188	20242.50201
		17	Q13505	MTX1	7565479.014	8359006.199	7719628.553	7671089.165	7487226.665	7383635.991	8002947.42	8794682.106	8764254.817	9341352.391	7635017.325	8041314.919	8127048.088	8766685.121	7549763.388	8693465.702
		7	Q13506	NAB1	1024295.11	1084275.543	1250176.189	957159.6139	926094.5706	1122201.254	996561.9738	1130555.197	1148484.535	1143559.499	1152631.562	1110593.941	1016867.306	1067496.567	1111364.013	1074027.87
		28	Q13509	TUBB3	88238198.44	75203683.94	77747879.94	82409081.75	78467940.53	79657120.87	74456785.67	77694007.89	75590416.37	75721518.13	79453090.41	82180911.71	76821138.01	76042361.51	84426934.75	78658536.05
		19	Q13510	ASAH1	19522033.47	18380848.11	19383153.9	20712523.52	19629226.66	17849743.41	16957263.08	17473920.55	18645187.89	18922508.25	21294831.82	19392560.95	18930379.53	17579613.3	18480494.18	18036299.05
		15	Q13526	PIN1	12179064.62	11715376.63	12769511.5	11450442.37	12122635.13	13810861.69	13870341.76	14669333.62	14502517.25	15199283.71	12280789.71	12890456.32	12794318.79	14432321.04	15091156.14	15714575.88
		2	Q13530	SERINC3	1119171.734	1035789.925	771603.4134	966292.2065	918423.4799	798869.3205	1107058.477	817863.1857	849114.7451	726699.8082	685881.5868	714760.3103	640171.977	1008094.881	950877.5215	1131339.11
		5	Q13541	EIF4EBP1	729121.6425	546893.3523	483682.2266	428637.9319	522546.5366	661737.7237	558229.9485	572057.2461	736793.0871	1198999.81	674519.2074	530208.3996	400876.9664	926929.4424	867497.4552	898338.7247
		3	Q13542	EIF4EBP2	358099.2571	314892.5282	385962.1905	339087.952	553490.8723	519116.9251	465234.9644	539289.3433	654938.5383	659265.4725	647535.6065	297493.7843	678034.896	736588.833	541011.5992	609894.4238
		16	Q13547	HDAC1	26573777.73	24262081.63	23412895.02	27072034.94	22125396.91	33966282.67	27850502.07	35354732.31	33832348.72	31344304.88	24682753.36	27088928.63	26091924.08	33350383.14	31389963.16	31883352.51
		28	Q13561	DCTN2	26414009.95	26222465.47	27495648.92	26293447.87	28040330.15	33076425.54	33149872.83	33387390.42	33482409.11	32784260.11	28374664.53	28554207.33	30459733.85	34699222.47	32241152.95	33170559.25
		9	Q13563	PKD2	1581980.077	1685914.568	1515539.475	1480856.074	1443360.252	1361721.271	1500487.635	1529257.584	1393517.8	1451084.397	1545133.433	1497059.364	1507472.235	1556743.689	1493017.867	1464828.16
		24	Q13564	NAE1	7218661.882	7909198.105	7932806.896	7046620.069	7514262.059	10908882.62	10908882.62	11585363.7	10917203.4	11368196.02	7558140.988	7882927.088	8650787.262	10877170.66	10481922.42	9509249.152
		4	Q13568	IRF5	702675.9521	629043.3861	581492.0733	607152.7518	663574.996	648523.8023	628912.5939	596722.2309	613115.7754	523017.611	642171.8948	737048.4844	550850.0032	670975.238	624654.9668	540486.8529
		3	Q13569	TDG	133761.1843	119363.3164	128276.7338	96176.71299	86673.29913	221923.0508	269457.833	266430.5516	223296.3278	229224.2259	137502.6598	134570.2521	122192.8209	232295.2293	212396.4312	279463.4335
		4	Q13572	ITPK1	2105162.252	2470891.105	2783946.392	2476549.455	2558736.225	2138251.32	2371880.672	2148800.329	2043767.991	2081944.241	3161329.539	2838898.818	3104866.914	2113935.606	2012838.512	1616564.903
		26	Q13573	SNW1	9914440.99	9721853.746	9488838.03	9251783.017	9352366.263	9868504.222	9814613.332	10228562	10746026.76	10007650.67	8738171.558	8641198.55	8459846.172	9150378.562	9835725.218	9958520.557
